task,ID,background,count,occlusion,palette,shape
above_below,0.4166666666666667,0.5,0.09090909090909091,0.2,0.1111111111111111,0.14285714285714285
between,0.36,1.0,0.09090909090909091,0.4,0.26666666666666666,0.5
center_proximity,0.7272727272727273,0.5333333333333333,0.7142857142857143,0.625,0.5,0.5789473684210527
counting,0.6111111111111112,0.38095238095238093,0.20833333333333334,0.48,0.7272727272727273,0.5263157894736842
inside_outside,0.9787234042553191,1.0,0.95,1.0,1.0,0.9230769230769231
left_right,0.08333333333333333,0.35714285714285715,0.3333333333333333,0.21052631578947367,0.0,0.18181818181818182
multi_hop,0.5576923076923077,0.3684210526315789,0.3181818181818182,0.5,0.24324324324324326,0.5294117647058824
nearest_farthest,0.22448979591836735,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.0,0.18518518518518517
overlap,0.967741935483871,0.9047619047619048,0.9166666666666666,0.6363636363636364,1.0,0.8709677419354839
relative_ordering,0.25806451612903225,0.21428571428571427,0.17142857142857143,0.14814814814814814,0.0,0.0
relative_size,0.36666666666666664,0.7666666666666667,0.5714285714285714,0.6875,0.6,0.7037037037037037
