task,ID,background,count,occlusion,palette,shape
above_below,0.375,0.6666666666666666,0.2727272727272727,0.4,0.16666666666666666,0.14285714285714285
between,0.52,0.75,0.09090909090909091,0.6,0.26666666666666666,0.6666666666666666
center_proximity,0.696969696969697,0.5333333333333333,0.7619047619047619,0.5,0.5,0.7368421052631579
counting,0.6296296296296297,0.38095238095238093,0.2916666666666667,0.4,0.6363636363636364,0.5263157894736842
inside_outside,0.8936170212765957,1.0,0.85,1.0,0.9444444444444444,0.7307692307692307
left_right,0.25,0.35714285714285715,0.16666666666666666,0.2631578947368421,0.15,0.09090909090909091
multi_hop,0.6538461538461539,0.5263157894736842,0.4090909090909091,0.5333333333333333,0.21621621621621623,0.35294117647058826
nearest_farthest,0.3877551020408163,0.16666666666666666,0.36363636363636365,0.46153846153846156,0.16666666666666666,0.14814814814814814
overlap,0.967741935483871,0.9523809523809523,0.8333333333333334,0.6363636363636364,1.0,0.8064516129032258
relative_ordering,0.6129032258064516,0.6785714285714286,0.42857142857142855,0.6666666666666666,0.045454545454545456,0.3
relative_size,0.43333333333333335,0.8,0.5714285714285714,0.625,0.6,0.6666666666666666
