task,ID,background,count,occlusion,palette,shape
above_below,0.20833333333333334,0.5,0.18181818181818182,0.2,0.05555555555555555,0.0
between,0.28,0.75,0.09090909090909091,0.4,0.26666666666666666,0.5
center_proximity,0.7575757575757576,0.5333333333333333,0.6190476190476191,0.6875,0.5,0.6842105263157895
counting,0.6481481481481481,0.2857142857142857,0.25,0.52,0.8181818181818182,0.5789473684210527
inside_outside,1.0,1.0,1.0,1.0,1.0,1.0
left_right,0.041666666666666664,0.2857142857142857,0.16666666666666666,0.15789473684210525,0.05,0.09090909090909091
multi_hop,0.4230769230769231,0.42105263157894735,0.22727272727272727,0.43333333333333335,0.24324324324324326,0.35294117647058826
nearest_farthest,0.20408163265306123,0.08333333333333333,0.2727272727272727,0.23076923076923078,0.0,0.1111111111111111
overlap,1.0,0.9047619047619048,1.0,0.8181818181818182,1.0,1.0
relative_ordering,0.16129032258064516,0.14285714285714285,0.2,0.14814814814814814,0.0,0.0
relative_size,0.4666666666666667,0.7333333333333333,0.6190476190476191,0.8125,0.6666666666666666,0.7407407407407407
