task,ID,background,count,occlusion,palette,shape
above_below,0.2916666666666667,0.6666666666666666,0.2727272727272727,0.26666666666666666,0.05555555555555555,0.14285714285714285
between,0.48,0.75,0.0,0.5,0.13333333333333333,0.3333333333333333
center_proximity,0.6060606060606061,0.4666666666666667,0.7619047619047619,0.4375,0.45,0.7368421052631579
counting,0.6481481481481481,0.42857142857142855,0.2916666666666667,0.28,0.5454545454545454,0.42105263157894735
inside_outside,0.9787234042553191,1.0,1.0,1.0,1.0,1.0
left_right,0.2916666666666667,0.35714285714285715,0.4166666666666667,0.21052631578947367,0.05,0.18181818181818182
multi_hop,0.6538461538461539,0.42105263157894735,0.4090909090909091,0.5666666666666667,0.21621621621621623,0.29411764705882354
nearest_farthest,0.2857142857142857,0.16666666666666666,0.2727272727272727,0.38461538461538464,0.0,0.037037037037037035
overlap,1.0,0.9047619047619048,1.0,0.8181818181818182,1.0,1.0
relative_ordering,0.1935483870967742,0.2857142857142857,0.17142857142857143,0.25925925925925924,0.0,0.0
relative_size,0.3,0.5666666666666667,0.47619047619047616,0.3125,0.2,0.2962962962962963
