task,ID,background,count,occlusion,palette,shape
above_below,0.5416666666666666,0.8333333333333334,0.18181818181818182,0.5333333333333333,0.16666666666666666,0.0
between,0.48,0.25,0.0,0.45,0.26666666666666666,0.0
center_proximity,0.5454545454545454,0.6666666666666666,0.8095238095238095,0.5,0.75,0.631578947368421
counting,0.7777777777777778,0.38095238095238093,0.25,0.6,0.45454545454545453,0.631578947368421
inside_outside,1.0,1.0,1.0,0.875,1.0,1.0
left_right,0.25,0.5714285714285714,0.25,0.3684210526315789,0.15,0.0
multi_hop,0.6346153846153846,0.5263157894736842,0.2727272727272727,0.6,0.5135135135135135,0.0
nearest_farthest,0.46938775510204084,0.5,0.18181818181818182,0.5384615384615384,0.3333333333333333,0.0
overlap,1.0,0.8095238095238095,1.0,0.7272727272727273,1.0,1.0
relative_ordering,0.6129032258064516,0.8214285714285714,0.5428571428571428,0.7777777777777778,0.22727272727272727,0.0
relative_size,0.6,0.8,0.5238095238095238,0.6875,0.5333333333333333,0.7037037037037037
