task,ID,background,count,occlusion,palette,shape
above_below,0.4583333333333333,0.6666666666666666,0.09090909090909091,0.4,0.1111111111111111,0.0
between,0.56,0.5,0.09090909090909091,0.45,0.2,0.0
center_proximity,0.48484848484848486,0.7333333333333333,0.7619047619047619,0.3125,0.65,0.7368421052631579
counting,0.7592592592592593,0.42857142857142855,0.25,0.56,0.5454545454545454,0.5789473684210527
inside_outside,1.0,1.0,1.0,0.875,1.0,1.0
left_right,0.2916666666666667,0.5,0.16666666666666666,0.3684210526315789,0.05,0.0
multi_hop,0.7115384615384616,0.5789473684210527,0.3181818181818182,0.5666666666666667,0.4864864864864865,0.0
nearest_farthest,0.46938775510204084,0.16666666666666666,0.0,0.23076923076923078,0.0,0.0
overlap,1.0,0.8095238095238095,1.0,0.7272727272727273,1.0,1.0
relative_ordering,0.6129032258064516,0.7857142857142857,0.4,0.6296296296296297,0.3181818181818182,0.0
relative_size,0.6666666666666666,0.7666666666666667,0.5238095238095238,0.5,0.6,0.6666666666666666
