baseline,candidate,task,samples,baseline_accuracy,candidate_accuracy,accuracy_delta,improved,regressed
base-direct,base-fewshot,above_below,81,0.24691358024691357,0.32098765432098764,0.07407407407407407,10,4
base-direct,base-fewshot,between,81,0.35802469135802467,0.4567901234567901,0.09876543209876543,10,2
base-direct,base-fewshot,center_proximity,124,0.6290322580645161,0.6370967741935484,0.008064516129032251,8,7
base-direct,base-fewshot,counting,154,0.4935064935064935,0.4935064935064935,0.0,5,5
base-direct,base-fewshot,inside_outside,149,0.9731543624161074,0.8926174496644296,-0.08053691275167785,0,12
base-direct,base-fewshot,left_right,100,0.17,0.22,0.04999999999999999,10,5
base-direct,base-fewshot,multi_hop,177,0.4293785310734463,0.4689265536723164,0.03954802259887008,21,14
base-direct,base-fewshot,nearest_farthest,118,0.23728813559322035,0.3050847457627119,0.06779661016949154,17,9
base-direct,base-fewshot,overlap,124,0.9032258064516129,0.8870967741935484,-0.016129032258064502,2,4
base-direct,base-fewshot,relative_ordering,153,0.1568627450980392,0.49019607843137253,0.3333333333333333,52,1
base-direct,base-fewshot,relative_size,139,0.6115107913669064,0.6187050359712231,0.007194244604316613,7,6
base-direct,lora-direct,above_below,81,0.24691358024691357,0.38271604938271603,0.13580246913580246,19,8
base-direct,lora-direct,between,81,0.35802469135802467,0.32098765432098764,-0.037037037037037035,10,13
base-direct,lora-direct,center_proximity,124,0.6290322580645161,0.6451612903225806,0.016129032258064502,19,17
base-direct,lora-direct,counting,154,0.4935064935064935,0.5714285714285714,0.07792207792207789,23,11
base-direct,lora-direct,inside_outside,149,0.9731543624161074,0.9932885906040269,0.020134228187919434,4,1
base-direct,lora-direct,left_right,100,0.17,0.27,0.1,17,7
base-direct,lora-direct,multi_hop,177,0.4293785310734463,0.4858757062146893,0.05649717514124297,34,24
base-direct,lora-direct,nearest_farthest,118,0.23728813559322035,0.3389830508474576,0.10169491525423727,25,13
base-direct,lora-direct,overlap,124,0.9032258064516129,0.9435483870967742,0.040322580645161366,9,4
base-direct,lora-direct,relative_ordering,153,0.1568627450980392,0.5686274509803921,0.4117647058823529,68,5
base-direct,lora-direct,relative_size,139,0.6115107913669064,0.6546762589928058,0.043165467625899345,15,9
base-direct,lora-fewshot,above_below,81,0.24691358024691357,0.2962962962962963,0.04938271604938271,14,10
base-direct,lora-fewshot,between,81,0.35802469135802467,0.35802469135802467,0.0,12,12
base-direct,lora-fewshot,center_proximity,124,0.6290322580645161,0.6048387096774194,-0.024193548387096753,20,23
base-direct,lora-fewshot,counting,154,0.4935064935064935,0.564935064935065,0.07142857142857145,24,13
base-direct,lora-fewshot,inside_outside,149,0.9731543624161074,0.9932885906040269,0.020134228187919434,4,1
base-direct,lora-fewshot,left_right,100,0.17,0.24,0.06999999999999998,15,8
base-direct,lora-fewshot,multi_hop,177,0.4293785310734463,0.5084745762711864,0.0790960451977401,34,20
base-direct,lora-fewshot,nearest_farthest,118,0.23728813559322035,0.23728813559322035,0.0,17,17
base-direct,lora-fewshot,overlap,124,0.9032258064516129,0.9435483870967742,0.040322580645161366,9,4
base-direct,lora-fewshot,relative_ordering,153,0.1568627450980392,0.5163398692810458,0.3594771241830066,61,6
base-direct,lora-fewshot,relative_size,139,0.6115107913669064,0.6402877697841727,0.02877697841726623,16,12
